Timestamp,Text,Platform,Country,CoreSentiment,Likes,Retweets
2023-01-15 12:30:00, Enjoying a beautiful day at the park!              ,Twitter,USA,Positive,30.0,15.0
2023-01-15 08:45:00, Traffic was terrible this morning.                 ,Twitter,Canada,Negative,10.0,5.0
2023-01-15 15:45:00, Just finished an amazing workout! 💪               ,Instagram,USA,Positive,40.0,20.0
2023-01-15 18:20:00, Excited about the upcoming weekend getaway!        ,Facebook,UK,Positive,15.0,8.0
2023-01-15 19:55:00, Trying out a new recipe for dinner tonight.        ,Instagram,Australia,Neutral,25.0,12.0
2023-01-16 09:10:00, Feeling grateful for the little things in life.    ,Twitter,India,Positive,50.0,25.0
2023-01-16 14:45:00, Rainy days call for cozy blankets and hot cocoa.   ,Facebook,Canada,Positive,20.0,10.0
2023-01-16 19:30:00, The new movie release is a must-watch!             ,Instagram,USA,Positive,30.0,15.0
2023-01-17 08:00:00, Political discussions heating up on the timeline.  ,Twitter,USA,Negative,60.0,30.0
2023-01-17 12:20:00, Missing summer vibes and beach days.               ,Facebook,Australia,Neutral,35.0,18.0
2023-01-17 15:15:00, Just published a new blog post. Check it out!      ,Instagram,USA,Positive,45.0,22.0
2023-01-18 10:30:00, Feeling a bit under the weather today.             ,Twitter,Canada,Negative,15.0,7.0
2023-01-18 14:50:00, Exploring the city's hidden gems.                  ,Facebook,UK,Positive,25.0,12.0
2023-01-18 18:00:00," New year, new fitness goals! 💪                    ",Instagram,USA,Positive,55.0,28.0
2023-01-19 09:45:00, Technology is changing the way we live.            ,Twitter,India,Neutral,30.0,15.0
2023-01-19 13:20:00, Reflecting on the past and looking ahead.          ,Facebook,USA,Positive,40.0,20.0
2023-01-19 17:10:00, Just adopted a cute furry friend! 🐾              ,Instagram,Canada,Positive,30.0,15.0
2023-01-20 00:05:00, Late-night gaming session with friends.            ,Twitter,UK,Positive,35.0,18.0
2023-01-20 11:30:00, Attending a virtual conference on AI.              ,Facebook,USA,Neutral,50.0,25.0
2023-01-20 15:15:00, Winter blues got me feeling low.                   ,Instagram,USA,Negative,15.0,8.0
2023-01-21 08:40:00, Sipping coffee and enjoying a good book.           ,Twitter,India,Positive,45.0,22.0
